s_id,link_id,start_lon,start_lat,end_lon,end_lat
3250016210_0004,3250016210,127.54648,34.835124,127.546649,34.834695
3250016210_0005,3250016210,127.546649,34.834695,127.546698,34.834565
3260003049_0000,3260003049,127.530321,34.890992,127.53023,34.890548
3260003049_0001,3260003049,127.53023,34.890548,127.53008,34.890115
3260003049_0002,3260003049,127.53008,34.890115,127.52989,34.889692
3260003049_0003,3260003049,127.52989,34.889692,127.529666,34.889281
3260003049_0004,3260003049,127.529666,34.889281,127.529445,34.888869
3260003049_0005,3260003049,127.529445,34.888869,127.529272,34.888522
3250185323_0000,3250185323,127.715696,34.539332,127.715241,34.539098
3250185323_0001,3250185323,127.715241,34.539098,127.714712,34.538993
3250185323_0002,3250185323,127.714712,34.538993,127.714211,34.538827
3250185323_0003,3250185323,127.714211,34.538827,127.713781,34.538551
3250185323_0004,3250185323,127.713781,34.538551,127.713384,34.538242
3250185323_0005,3250185323,127.713384,34.538242,127.712988,34.537933
3250185323_0006,3250185323,127.712988,34.537933,127.71255,34.537667
3250185323_0007,3250185323,127.71255,34.537667,127.712098,34.537416
3250185323_0008,3250185323,127.712098,34.537416,127.712046,34.537387
3260002918_0000,3260002918,127.533516,34.89802,127.533741,34.898431
3260002918_0001,3260002918,127.533741,34.898431,127.533937,34.898851
3260002918_0002,3260002918,127.533937,34.898851,127.534003,34.89911
3280519001_0000,3280519001,127.579535,34.961255,127.579565,34.961133
3260002919_0000,3260002919,127.527103,34.880412,127.527119,34.880863
3260002919_0001,3260002919,127.527119,34.880863,127.527147,34.881313
3260002919_0002,3260002919,127.527147,34.881313,127.527176,34.881763
3260002919_0003,3260002919,127.527176,34.881763,127.52719,34.881874
3250013618_0000,3250013618,127.555899,34.823469,127.555914,34.823019
3250013618_0001,3250013618,127.555914,34.823019,127.555874,34.822571
3250013618_0002,3250013618,127.555874,34.822571,127.555787,34.822126
3250013618_0003,3250013618,127.555787,34.822126,127.555744,34.821909
3250005883_0000,3250005883,127.578847,34.733,127.578509,34.73265
3250005883_0001,3250005883,127.578509,34.73265,127.578097,34.732354
3250005883_0002,3250005883,127.578097,34.732354,127.57767,34.732073
3250005883_0003,3250005883,127.57767,34.732073,127.577217,34.731822
3250005883_0004,3250005883,127.577217,34.731822,127.576784,34.731549
3250005883_0005,3250005883,127.576784,34.731549,127.576359,34.731265
3250005883_0006,3250005883,127.576359,34.731265,127.575945,34.730972
3250005883_0007,3250005883,127.575945,34.730972,127.575517,34.730694
3250005883_0008,3250005883,127.575517,34.730694,127.575313,34.730607
3250013626_0000,3250013626,127.569774,34.790771,127.57014,34.790437
3250013626_0001,3250013626,127.57014,34.790437,127.570505,34.790102
3250013626_0002,3250013626,127.570505,34.790102,127.570871,34.789767
3250013626_0003,3250013626,127.570871,34.789767,127.571237,34.789433
3250013626_0004,3250013626,127.571237,34.789433,127.571603,34.789098
3250013626_0005,3250013626,127.571603,34.789098,127.571971,34.788765
3250013626_0006,3250013626,127.571971,34.788765,127.572367,34.788455
3250013626_0007,3250013626,127.572367,34.788455,127.572389,34.788438
3250005712_0000,3250005712,127.565542,34.656365,127.565702,34.656212
3280201903_0000,3280201903,127.693948,35.049936,127.693481,35.05016
3280201903_0001,3280201903,127.693481,35.05016,127.693407,35.050217
3250005747_0000,3250005747,127.586542,34.740731,127.586023,34.74087
3250005747_0001,3250005747,127.586023,34.74087,127.58551,34.741024
3250005747_0002,3250005747,127.58551,34.741024,127.585006,34.741151
3260002920_0000,3260002920,127.52719,34.881874,127.52726,34.882321
3260002920_0001,3260002920,127.52726,34.882321,127.527368,34.882762
3260002920_0002,3260002920,127.527368,34.882762,127.527516,34.883196
3260002920_0003,3260002920,127.527516,34.883196,127.527664,34.88363
3260002920_0004,3260002920,127.527664,34.88363,127.527804,34.884066
3260002920_0005,3260002920,127.527804,34.884066,127.52793,34.884504
3260002920_0006,3260002920,127.52793,34.884504,127.528062,34.884875
3260003047_0000,3260003047,127.53443,34.861539,127.53495,34.861415
3260003047_0001,3260003047,127.53495,34.861415,127.53539,34.861154
3260003047_0002,3260003047,127.53539,34.861154,127.53573,34.860802
3260003047_0003,3260003047,127.53573,34.860802,127.535895,34.860373
3260003047_0004,3260003047,127.535895,34.860373,127.535936,34.859924
3260003047_0005,3260003047,127.535936,34.859924,127.535915,34.859474
3260003047_0006,3260003047,127.535915,34.859474,127.535888,34.859025
3260003047_0007,3260003047,127.535888,34.859025,127.536013,34.858588
3260003047_0008,3260003047,127.536013,34.858588,127.536015,34.858581
3250013635_0000,3250013635,127.564587,34.79605,127.564922,34.795694
3250013635_0001,3250013635,127.564922,34.795694,127.565259,34.795339
3250013635_0002,3250013635,127.565259,34.795339,127.565595,34.794984
3250013635_0003,3250013635,127.565595,34.794984,127.565929,34.794627
3250013635_0004,3250013635,127.565929,34.794627,127.566262,34.79427
3250013635_0005,3250013635,127.566262,34.79427,127.566596,34.793913
3250013635_0006,3250013635,127.566596,34.793913,127.566929,34.793556
3250013635_0007,3250013635,127.566929,34.793556,127.567262,34.793199
3250013635_0008,3250013635,127.567262,34.793199,127.567514,34.792929
3280010130_0000,3280010130,127.589898,34.946115,127.589873,34.945665
3280010130_0001,3280010130,127.589873,34.945665,127.589709,34.945237
3280010130_0002,3280010130,127.589709,34.945237,127.589431,34.94485
3280010130_0003,3280010130,127.589431,34.94485,127.58911,34.944485
3280010130_0004,3280010130,127.58911,34.944485,127.588902,34.94425
3250016223_0000,3250016223,127.546698,34.834565,127.546858,34.834134
3250016223_0001,3250016223,127.546858,34.834134,127.547054,34.833713
3250016223_0002,3250016223,127.547054,34.833713,127.547252,34.833293
3250016223_0003,3250016223,127.547252,34.833293,127.547446,34.832872
3250016223_0004,3250016223,127.547446,34.832872,127.547636,34.832449
3250016223_0005,3250016223,127.547636,34.832449,127.547693,34.832321
3280202209_0000,3280202209,127.713727,35.055628,127.713779,35.056052
3280202209_0001,3280202209,127.713779,35.056052,127.713887,35.056482
3280202209_0002,3280202209,127.713887,35.056482,127.714401,35.056517
3280202209_0003,3280202209,127.714401,35.056517,127.714817,35.056226
3280202209_0004,3280202209,127.714817,35.056226,127.715156,35.055881
3280202209_0005,3280202209,127.715156,35.055881,127.715629,35.055993
3280202209_0006,3280202209,127.715629,35.055993,127.715663,35.056418
3280202209_0007,3280202209,127.715663,35.056418,127.715546,35.056804
3260002940_0000,3260002940,127.529832,34.867151,127.52987,34.8676
3260002940_0001,3260002940,127.52987,34.8676,127.52978,34.868044
3260002940_0002,3260002940,127.52978,34.868044,127.529633,34.868376
3250013531_0000,3250013531,127.562445,34.800778,127.562395,34.800915
3260078302_0000,3260078302,127.53289,34.913318,127.533161,34.913709
3260078302_0001,3260078302,127.533161,34.913709,127.533433,34.914101
3260078302_0002,3260078302,127.533433,34.914101,127.533704,34.914492
3260078302_0003,3260078302,127.533704,34.914492,127.533976,34.914883
3260078302_0004,3260078302,127.533976,34.914883,127.534248,34.915274
3260078302_0005,3260078302,127.534248,34.915274,127.534498,34.9155
3250005739_0000,3250005739,127.560764,34.658995,127.561134,34.658674
3250005739_0001,3250005739,127.561134,34.658674,127.561643,34.658518
3250005739_0002,3250005739,127.561643,34.658518,127.562147,34.658347
3250005739_0003,3250005739,127.562147,34.658347,127.562459,34.657988
3250005739_0004,3250005739,127.562459,34.657988,127.562932,34.657766
3250005739_0005,3250005739,127.562932,34.657766,127.563161,34.657635
3280010102_0000,3280010102,127.579049,34.942043,127.57858,34.94181
3280010102_0001,3280010102,127.57858,34.94181,127.578118,34.941569
3280010102_0002,3280010102,127.578118,34.941569,127.57811,34.941564
3280010141_0000,3280010141,127.586955,34.942099,127.586675,34.941991
3250013530_0000,3250013530,127.562589,34.800371,127.562445,34.800778
3280202311_0000,3280202311,127.711106,35.053848,127.71069,35.05359
3280202311_0001,3280202311,127.71069,35.05359,127.710381,35.053315
3280202311_0002,3280202311,127.710381,35.053315,127.709941,35.053083
3280202311_0003,3280202311,127.709941,35.053083,127.709599,35.052787
3280202311_0004,3280202311,127.709599,35.052787,127.709065,35.052853
3280202311_0005,3280202311,127.709065,35.052853,127.708616,35.053107
3280202311_0006,3280202311,127.708616,35.053107,127.7083,35.053159
3250013523_0000,3250013523,127.556903,34.813923,127.556867,34.814372
3250013523_0001,3250013523,127.556867,34.814372,127.556868,34.814394
3250002102_0000,3250002102,127.576155,34.68073,127.57586,34.680352
3250002102_0001,3250002102,127.57586,34.680352,127.575589,34.679961
3250002102_0002,3250002102,127.575589,34.679961,127.57527,34.679596
3250002102_0003,3250002102,127.57527,34.679596,127.57498,34.679214
3250002102_0004,3250002102,127.57498,34.679214,127.574738,34.678811
3250002102_0005,3250002102,127.574738,34.678811,127.574505,34.678403
3250002102_0006,3250002102,127.574505,34.678403,127.574379,34.678207
3260000702_0000,3260000702,127.541001,34.844878,127.540872,34.845279
3250008308_0000,3250008308,127.602022,34.770847,127.601891,34.770895
3250002811_0000,3250002811,127.580056,34.688347,127.579979,34.688181
3250002103_0000,3250002103,127.571525,34.676932,127.571007,34.676791
3250002103_0001,3250002103,127.571007,34.676791,127.570478,34.676681
3250002103_0002,3250002103,127.570478,34.676681,127.569944,34.676588
3250002103_0003,3250002103,127.569944,34.676588,127.569407,34.67651
3250002103_0004,3250002103,127.569407,34.67651,127.568868,34.676443
